moment_id,set_id,play_id,serialNumber
244606,2,44,1162
396468,2,51,1851
361519,2,43,1702
381061,2,51,1789
360651,2,98,1772
351773,2,138,1650
387737,2,150,1723
354882,2,220,500
378036,2,206,529
397232,2,73,1807
353750,2,179,400
372485,2,175,553
414810,2,90,1889
371727,2,58,1827
260354,2,56,1304
268153,2,135,1356
407993,2,176,603
374392,2,233,525
264035,2,73,1278
272374,2,87,1278
261549,2,42,1299
278697,2,130,1347
387732,2,150,1718
346511,2,235,254
354618,2,121,1666
379235,2,140,1803
365342,2,90,1724
370631,2,51,1718
368120,2,24,1799
378123,2,34,1795
392288,2,77,1785
396180,2,198,529
360509,2,85,1738
381733,2,196,389
375805,2,65,1767
399481,2,123,1900
385542,2,52,1784
138698,2,49,659
481318,2,51,2225
461076,2,51,2054
474536,2,124,2165
472302,2,58,2215
471214,2,207,1434
443521,2,81,2017
444283,2,150,2027
484703,2,175,979
483695,2,52,2187
460842,2,85,2186
479132,2,217,1522
420400,2,205,1049
270512,2,44,1266
443720,2,85,2112
264086,14,176,319
283007,2,51,1332
279783,14,181,481
262872,14,179,175
262404,14,182,202
271805,2,139,1260
268163,14,175,181
270960,2,56,1315
266591,2,91,1268
275557,2,83,1311
269244,14,18,112
272600,2,77,1329
261874,2,140,1280
266827,2,85,1303
264063,2,73,1306
261900,2,140,1306
265835,14,178,73
277399,2,150,1354
157986,2,140,758
153951,2,31,715
156094,2,154,318
153949,2,87,731
154369,2,45,748
159328,2,132,753
153706,2,28,732
156093,2,154,317
156357,2,138,748
156531,2,107,752
152727,2,48,733
154361,2,72,741
153510,2,139,732
154384,2,28,750
151591,2,53,721
155957,2,141,746
268558,14,177,346
283094,2,107,1318
261352,2,43,1301
266531,14,180,164
275567,2,83,1321
283029,2,51,1354
266418,2,98,1316
283799,2,108,1351
272410,14,183,223
269321,2,45,1276
270477,2,65,1330
261867,2,140,1273
283779,2,108,1331
493322,2,90,2250
494836,2,121,2258
619295,2,116,2791
619590,2,93,2786
622366,2,64,2801
619191,2,182,1524
619159,2,129,2787
594303,2,216,2229
519204,2,25,2323
618344,2,91,2653
593015,2,141,2652
516797,2,150,2337
512288,2,98,2312
600512,2,116,2722
606634,2,150,2776
617982,2,65,2739
603685,2,140,2711
510191,2,269,98
500472,2,124,2261
505735,2,206,1671
598938,2,93,2664
505715,2,206,1651
604808,2,138,2772
609170,2,22,2729
504593,2,81,2283
502114,2,93,2317
499197,2,52,2268
517225,2,21,2323
608572,2,175,1485
518653,2,51,2286
603077,2,139,2710
610081,2,56,2736
510177,2,269,84
614367,2,167,1916
618398,2,91,2707
499223,2,52,2294
628987,2,90,2845
